"Facility Id","FRS Id","Facility Name","City","State","Zip Code","Address","County","Latitude","Longitude","Primary NAICS Code","Latest Reported Industry Type (subparts)","Latest Reported Industry Type (sectors)","2023 Total reported direct emissions","2022 Total reported direct emissions","2021 Total reported direct emissions","2020 Total reported direct emissions","2019 Total reported direct emissions","2018 Total reported direct emissions","2017 Total reported direct emissions","2016 Total reported direct emissions","2015 Total reported direct emissions","2014 Total reported direct emissions","2013 Total reported direct emissions","2012 Total reported direct emissions","2011 Total reported direct emissions"
1013282,NA,"3M Pittsboro","Moncure","NC","27559","4191 Hwy 87 South",NA,35.660546,-79.176782,327999,"C","Minerals",27050.748,28141.944,29339.24,26496.1,25968.852,25848.452,NA,NA,NA,NA,NA,NA,NA
1014236,"110000350370","ADM Southport","Southport","NC","28461","1730 E Moore Street SE","BRUNSWICK COUNTY",33.94516,-78.00117,325199,"C","Chemicals",82308.14,89098.308,65370.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1004178,"110022439798","ALPEK POLYESTER USA, LLC","FAYETTEVILLE","NC","28312","3216 CEDAR CREEK RD","CUMBERLAND COUNTY",34.98305,-78.78722,325211,"C","Other",35596.364,47560.372,47400.872,47904.62,41059.396,43533.336,43871.836,41333.924,43214.288,40782.848,42807.888,44557.426,47440.096
1005055,"110000346992","ARAUCO-USA LLC","MONCURE","NC","27559","985 CORINTH ROAD","CHATHAM COUNTY",35.60067,-79.04634,321219,"C","Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8951.65,12567.878
1006778,"110000348589","ATI Specialty Materials, Monroe Plant","MONROE","NC","28110","2020 ASHCRAFT AVENUE","UNION COUNTY",34.98548,-80.517139,331492,"C","Metals",60857.514,58222.722,49705.302,42349.728,61825.2,62014.052,61558.802,59027.71,58378.768,62650.852,57878.518,59914.21,62138.646
1014866,"110068054376","Ajinomoto Health & Nutrition NA, Inc.","Raleigh","NC","27610","4020 Ajinomoto Drive","WAKE COUNTY",35.77127,-78.56609,325411,"C","Chemicals",27663.696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1005138,"110043799609","Alamance County Landfill","Graham","NC","27253","2701 Austin Quarter Rd.","ALAMANCE COUNTY",35.9306,-79.2941,562212,"HH","Waste",134681.75,130863.25,127969,125546.25,125209.25,123568,121429,122302.75,119231.5,116036.25,112634.25,109351.75,106525
1002236,"110071161780","Anson County Waste Management Facility","Polkton","NC","28135","375 Dozer Drive","ANSON COUNTY",34.969177,-80.165185,562212,"HH","Waste",63836.25,80463.75,51909,70916.75,274450.5,267747.75,211575,189162.5,172306,151933.5,134669.25,127926.25,99265.5
1000003,"110001482887","Ardagh Glass Inc. (Henderson)","Henderson","NC","27537","620 Facet Road","VANCE COUNTY",36.291066,-78.391883,327213,"C,N","Minerals",77625.44,79156.516,79993.496,81110.872,80097.188,79393.21,80219.128,74813.296,80976.036,81003.988,80535.232,74324.196,77199.184
1000026,"110000347802","Ardagh Glass Inc. (Wilson)","WILSON","NC","27893","2201 FIRESTONE PARKWAY","WILSON COUNTY",35.7602,-77.8826,327213,"C,N","Minerals",44661.488,89289.616,92756.316,94154.616,95179.812,79299.79,44275.59,90360.572,99258.482,90845.312,94459.056,95875.436,97386.794
1007180,"110071160856","Asheville Steam Electric Plant","ARDEN","NC","28704","200 CP&L DRIVE","Buncombe",35.4714,-82.5431,221112,"C,D","Power Plants",1455027.44,1595369.424,1448571.11,1200948.344,1396089.06,1638133.04,1336765.258,1473932.088,1588704.562,1600459.59,1411291.542,1961670.128,1740156.864
1002822,"110071161703","Auria Albemarle, LLC","ALBEMARLE","NC","28001","313 BETHANY ROAD","STANLY COUNTY",35.3982,-80.20477,314110,"C","Other",NA,192.1,200.8,128.5,5316.478,27650.302,34650.092,42271.42,43156.904,43384.752,42496.062,48253.74,40149.694
1013954,"110067419467","Avient Protective Materials","Greenville","NC","27834","5750 Martin Luther King Jr. Highway","PITT COUNTY",35.65739,-77.35402,325220,"C","Other",NA,10773.86,10117.912,8737.568,NA,NA,NA,NA,NA,NA,NA,NA,NA
1001943,"110001499664","BLACKBURN SANITARY LANDFILL","NEWTON","NC","28658","3993 ROCKY FORD ROAD","CATAWBA COUNTY",35.60606,-81.30738,562212,"HH","Waste",96948.5,109495.626,91678.576,81323.058,97698.22,83680.788,73766.74,64722.596,32981.568,28319.89,27059.498,50926.35,52175.798
1002954,"110000745196","BRIDGESTONE FIRESTONE INCORPORATED","WILSON","NC","27893","3001 FIRESTONE PARKWAY","WILSON COUNTY",35.75598,-77.86917,326211,"C","Other",40372.592,37970.196,36953.352,37377.7,45326.118,47890.112,44837.66,48130.658,43782.56,49125.502,46020.018,43499.528,46758.348
1001775,"110009853578","BUNCOMBE COUNTY NEW LANDFILL","ALEXANDER","NC","28701","85 PANTHER BRANCH ROAD","BUNCOMBE COUNTY",35.72811,-82.64221,562212,"HH","Waste",70463.5,68755.5,72035.25,68205.75,71639,58452.25,67714.5,53769.5,43871.75,43121.25,39492.15,26587.65,75631.65
