"facility_id","frs_id","facility_name","city","state","zip_code","address","county_raw","latitude","longitude","naics_code","industry_subparts","industry_sectors","county_clean","year","emissions_mtco2e"
1000003,"110001482887","Ardagh Glass Inc. (Henderson)","Henderson","NC","27537","620 Facet Road","VANCE COUNTY",36.291066,-78.391883,327213,"C,N","Minerals","VANCE",2019,80097.188
1000003,"110001482887","Ardagh Glass Inc. (Henderson)","Henderson","NC","27537","620 Facet Road","VANCE COUNTY",36.291066,-78.391883,327213,"C,N","Minerals","VANCE",2020,81110.872
1000003,"110001482887","Ardagh Glass Inc. (Henderson)","Henderson","NC","27537","620 Facet Road","VANCE COUNTY",36.291066,-78.391883,327213,"C,N","Minerals","VANCE",2021,79993.496
1000003,"110001482887","Ardagh Glass Inc. (Henderson)","Henderson","NC","27537","620 Facet Road","VANCE COUNTY",36.291066,-78.391883,327213,"C,N","Minerals","VANCE",2022,79156.516
1000003,"110001482887","Ardagh Glass Inc. (Henderson)","Henderson","NC","27537","620 Facet Road","VANCE COUNTY",36.291066,-78.391883,327213,"C,N","Minerals","VANCE",2023,77625.44
1000015,"110000492734","TYSON FARMS, INC.","WILKESBORO","NC","28697","704 FACTORY STREET","WILKES COUNTY",36.143889,-81.163333,311615,"C","Other","WILKES",2019,24112.658
1000015,"110000492734","TYSON FARMS, INC.","WILKESBORO","NC","28697","704 FACTORY STREET","WILKES COUNTY",36.143889,-81.163333,311615,"C","Other","WILKES",2020,25378.202
1000015,"110000492734","TYSON FARMS, INC.","WILKESBORO","NC","28697","704 FACTORY STREET","WILKES COUNTY",36.143889,-81.163333,311615,"C","Other","WILKES",2021,25340.802
1000015,"110000492734","TYSON FARMS, INC.","WILKESBORO","NC","28697","704 FACTORY STREET","WILKES COUNTY",36.143889,-81.163333,311615,"C","Other","WILKES",2022,25758.502
1000015,"110000492734","TYSON FARMS, INC.","WILKESBORO","NC","28697","704 FACTORY STREET","WILKES COUNTY",36.143889,-81.163333,311615,"C","Other","WILKES",2023,21782.966
1000016,"110001478696","TYSON FARMS INCORPORATED HARMONY","HARMONY","NC","28634","501 SHEFFIELD ROAD","IREDELL COUNTY",35.95458,-80.72108,311613,"C","Other","IREDELL",2019,36534.312
1000016,"110001478696","TYSON FARMS INCORPORATED HARMONY","HARMONY","NC","28634","501 SHEFFIELD ROAD","IREDELL COUNTY",35.95458,-80.72108,311613,"C","Other","IREDELL",2020,38434.056
1000016,"110001478696","TYSON FARMS INCORPORATED HARMONY","HARMONY","NC","28634","501 SHEFFIELD ROAD","IREDELL COUNTY",35.95458,-80.72108,311613,"C","Other","IREDELL",2021,38150.856
1000016,"110001478696","TYSON FARMS INCORPORATED HARMONY","HARMONY","NC","28634","501 SHEFFIELD ROAD","IREDELL COUNTY",35.95458,-80.72108,311613,"C","Other","IREDELL",2022,40951.896
1000016,"110001478696","TYSON FARMS INCORPORATED HARMONY","HARMONY","NC","28634","501 SHEFFIELD ROAD","IREDELL COUNTY",35.95458,-80.72108,311613,"C","Other","IREDELL",2023,40292.548
1000026,"110000347802","Ardagh Glass Inc. (Wilson)","WILSON","NC","27893","2201 FIRESTONE PARKWAY","WILSON COUNTY",35.7602,-77.8826,327213,"C,N","Minerals","WILSON",2019,95179.812
1000026,"110000347802","Ardagh Glass Inc. (Wilson)","WILSON","NC","27893","2201 FIRESTONE PARKWAY","WILSON COUNTY",35.7602,-77.8826,327213,"C,N","Minerals","WILSON",2020,94154.616
1000026,"110000347802","Ardagh Glass Inc. (Wilson)","WILSON","NC","27893","2201 FIRESTONE PARKWAY","WILSON COUNTY",35.7602,-77.8826,327213,"C,N","Minerals","WILSON",2021,92756.316
