"facility_id","frs_id","facility_name","city","state","zip_code","address","county_raw","latitude","longitude","naics_code","industry_subparts","industry_sectors","emissions_2023","emissions_2022","emissions_2021","emissions_2020","emissions_2019","county_clean"
1013282,NA,"3M Pittsboro","Moncure","NC","27559","4191 Hwy 87 South",NA,35.660546,-79.176782,327999,"C","Minerals",27050.748,28141.944,29339.24,26496.1,25968.852,NA
1014236,"110000350370","ADM Southport","Southport","NC","28461","1730 E Moore Street SE","BRUNSWICK COUNTY",33.94516,-78.00117,325199,"C","Chemicals",82308.14,89098.308,65370.002,NA,NA,"BRUNSWICK"
1004178,"110022439798","ALPEK POLYESTER USA, LLC","FAYETTEVILLE","NC","28312","3216 CEDAR CREEK RD","CUMBERLAND COUNTY",34.98305,-78.78722,325211,"C","Other",35596.364,47560.372,47400.872,47904.62,41059.396,"CUMBERLAND"
1005055,"110000346992","ARAUCO-USA LLC","MONCURE","NC","27559","985 CORINTH ROAD","CHATHAM COUNTY",35.60067,-79.04634,321219,"C","Other",NA,NA,NA,NA,NA,"CHATHAM"
1006778,"110000348589","ATI Specialty Materials, Monroe Plant","MONROE","NC","28110","2020 ASHCRAFT AVENUE","UNION COUNTY",34.98548,-80.517139,331492,"C","Metals",60857.514,58222.722,49705.302,42349.728,61825.2,"UNION"
1014866,"110068054376","Ajinomoto Health & Nutrition NA, Inc.","Raleigh","NC","27610","4020 Ajinomoto Drive","WAKE COUNTY",35.77127,-78.56609,325411,"C","Chemicals",27663.696,NA,NA,NA,NA,"WAKE"
1005138,"110043799609","Alamance County Landfill","Graham","NC","27253","2701 Austin Quarter Rd.","ALAMANCE COUNTY",35.9306,-79.2941,562212,"HH","Waste",134681.75,130863.25,127969,125546.25,125209.25,"ALAMANCE"
1002236,"110071161780","Anson County Waste Management Facility","Polkton","NC","28135","375 Dozer Drive","ANSON COUNTY",34.969177,-80.165185,562212,"HH","Waste",63836.25,80463.75,51909,70916.75,274450.5,"ANSON"
1000003,"110001482887","Ardagh Glass Inc. (Henderson)","Henderson","NC","27537","620 Facet Road","VANCE COUNTY",36.291066,-78.391883,327213,"C,N","Minerals",77625.44,79156.516,79993.496,81110.872,80097.188,"VANCE"
1000026,"110000347802","Ardagh Glass Inc. (Wilson)","WILSON","NC","27893","2201 FIRESTONE PARKWAY","WILSON COUNTY",35.7602,-77.8826,327213,"C,N","Minerals",44661.488,89289.616,92756.316,94154.616,95179.812,"WILSON"
